Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Total Runs,Longest Run,Max Speed,Active Time,Total Run Distance,Avg Run Speed,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-09-11 12:39:50,false,"North Hertfordshire Running","10.03","638","00:48:33","155","171","3.7","161","172","4:50","3:49","117","120","1.27","7.9","9.9","276","48.3% L / 51.8% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","18.0","No","00:00:09.6","11","29.0","34","14","42","--","--","--","--","--","--","00:48:09","00:51:53","67","162"
Running,2024-09-09 12:49:04,false,"North Hertfordshire Running","10.16","658","00:48:55","158","174","3.9","160","171","4:49","3:56","92","99","1.29","7.7","10.1","280","48.3% L / 51.7% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","19.0","No","00:02:12.7","11","30.0","35","16","44","--","--","--","--","--","--","00:48:40","00:52:23","57","93"
Running,2024-09-07 18:12:10,false,"North Hertfordshire Running","11.51","733","01:00:11","147","163","3.5","157","172","5:14","2:01","153","168","1.21","8.4","10.3","287","48.9% L / 51.1% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","21.0","No","00:02:29.5","12","30.0","33","15","41","--","--","--","--","--","--","00:59:31","01:04:07","65","159"
Running,2024-09-06 12:53:53,false,"North Hertfordshire - HIIT 10x 30s 1 min","9.60","683","00:51:40","161","179","4.0","151","186","5:23","3:05","112","114","1.19","8.7","10.2","295","48.8% L / 51.2% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","26.0","No","00:00:30","18","32.0","37","22","45","--","--","--","--","--","--","00:51:22","00:51:40","66","157"
Running,2024-09-04 18:09:13,false,"North Hertfordshire Running","8.11","550","00:44:50","150","178","3.3","150","199","5:32","3:02","89","97","1.18","8.4","9.9","301","48.9% L / 51.1% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","20.0","No","00:00:39.9","9","28.0","33","19","41","--","--","--","--","--","--","00:44:37","00:44:50","68","108"
Running,2024-09-02 12:26:31,false,"North Hertfordshire Running","4.78","328","00:26:51","151","173","3.2","151","220","5:37","4:19","76","86","1.16","9.1","10.5","289","48.8% L / 51.2% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","22.0","No","00:04:04.1","5","29.0","33","17","40","--","--","--","--","--","--","00:26:32","00:37:51","65","103"
Running,2024-09-01 10:54:12,false,"North Hertfordshire Running","20.06","1,306","01:51:50","147","168","4.1","151","185","5:35","4:23","233","232","1.17","9.0","10.6","297","48.6% L / 51.4% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","26.0","No","00:01:05.6","21","32.0","33","20","49","--","--","--","--","--","--","01:49:51","02:00:35","56","176"
Running,2024-08-26 12:39:12,false,"North Hertfordshire Running","9.47","622","00:55:36","141","168","3.1","155","180","5:52","3:41","119","126","1.09","9.2","9.9","296","48.9% L / 51.1% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","22.0","No","00:02:19.8","10","31.0","31","17","45","--","--","--","--","--","--","00:55:03","00:55:46","65","156"
Hiking,2024-08-25 10:30:26,false,"Central Bedfordshire Hiking","17.17","907","04:06:15","90","125","0.7","84","214","14:21","9:42","331","332","0.83","NaN","NaN","NaN","--","0.0","NaN","NaN","--","NaN","NaN","NaN","--","23.0","No","04:06:15","1","32.0","--","--","--","--","--","--","--","--","--","03:35:25","05:26:58","62","161"
Running,2024-08-23 12:47:50,false,"North Hertfordshire - intervals - 2 minute sprints","6.06","430","00:33:22","157","182","3.4","142","180","5:30","3:21","74","71","1.23","8.3","10.0","289","48.5% L / 51.5% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","24.0","No","00:00:03.5","13","29.0","36","19","45","--","--","--","--","--","--","00:33:05","00:33:22","64","103"
Running,2024-08-23 12:43:54,false,"North Hertfordshire Running","0.55","30","00:02:47.9","127","141","0.6","154","164","5:06","4:50","1","8","1.14","8.5","9.8","305","49.5% L / 50.5% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","28.0","No","00:02:47.9","1","30.0","27","23","30","--","--","--","--","--","--","00:02:47.9","00:03:20.8","68","77"
Running,2024-08-22 12:46:13,false,"North Hertfordshire Running","9.14","610","00:49:35","151","167","3.5","154","177","5:25","4:18","138","140","1.17","8.7","10.2","296","49.1% L / 50.9% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","21.0","No","00:00:46.2","10","30.0","34","13","45","--","--","--","--","--","--","00:49:29","00:49:42","64","156"
Running,2024-08-19 13:18:30,false,"North Hertfordshire Running","5.81","386","00:29:01","158","174","3.3","159","223","5:00","2:06","66","69","1.23","8.5","10.4","281","48.6% L / 51.4% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","25.0","No","00:03:46.3","6","31.0","35","21","44","--","--","--","--","--","--","00:28:56","00:29:27","61","95"
Running,2024-08-18 10:11:37,false,"North Hertfordshire Running","16.27","1,106","01:28:36","157","173","4.3","152","170","5:27","4:33","187","188","1.18","8.9","10.5","303","48.9% L / 51.1% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","22.0","No","00:01:24.9","17","29.0","36","13","44","--","--","--","--","--","--","01:27:40","01:32:04","63","165"
Running,2024-08-16 12:38:56,false,"North Hertfordshire Running","7.20","481","00:40:26","148","164","3.2","151","177","5:37","4:42","91","101","1.16","8.6","10.1","302","49.3% L / 50.7% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","24.0","No","00:01:04.5","8","31.0","32","20","40","--","--","--","--","--","--","00:39:56","00:42:33","68","107"
Running,2024-08-14 12:12:21,false,"North Hertfordshire Running","8.07","544","00:40:42","159","174","3.7","156","185","5:03","4:05","82","86","1.25","8.5","10.6","288","48.3% L / 51.7% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","25.0","No","00:00:20.8","9","33.0","35","20","41","--","--","--","--","--","--","00:40:08","00:41:10","53","94"
Running,2024-08-12 12:22:52,false,"North Hertfordshire - Base","7.94","558","00:42:48","159","173","3.7","153","165","5:24","4:16","92","101","1.19","8.7","10.4","296","49.0% L / 51.0% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","31.0","No","00:01:56.6","9","35.0","36","24","44","--","--","--","--","--","--","00:42:21","00:45:00","67","103"
Running,2024-08-09 12:18:32,false,"North Hertfordshire Running","9.73","688","00:52:09","159","177","4.0","153","187","5:22","3:53","118","127","1.21","8.7","10.4","290","48.9% L / 51.1% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","25.0","No","00:03:30.9","10","32.0","37","21","47","--","--","--","--","--","--","00:51:51","00:55:49","67","163"
Running,2024-08-07 12:12:03,false,"North Hertfordshire Running","10.01","675","00:48:49","162","174","4.4","158","168","4:53","3:37","93","95","1.28","7.9","10.3","284","48.7% L / 51.3% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","22.0","No","00:00:02.1","11","30.0","36","15","44","--","--","--","--","--","--","00:48:40","00:49:34","57","93"
Running,2024-08-05 12:56:20,false,"North Hertfordshire Running","8.66","629","00:50:56","158","178","3.5","146","213","5:53","4:16","111","117","1.17","NaN","NaN","NaN","--","0.0","NaN","NaN","--","NaN","NaN","NaN","--","27.0","No","00:03:43.3","9","31.0","--","--","--","--","--","--","--","--","--","00:50:19","00:52:01","67","155"
Running,2024-08-04 10:32:51,false,"North Hertfordshire Running","5.00","328","00:28:46","141","164","2.7","150","164","5:45","4:21","36","47","1.13","8.3","9.4","298","49.5% L / 50.5% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","23.0","No","00:00:00.9","6","30.0","32","19","40","--","--","--","--","--","--","00:28:34","00:28:46","66","95"
Running,2024-08-02 12:46:44,false,"North Hertfordshire Running","5.69","413","00:33:07","152","169","3.2","147","174","5:49","4:30","64","66","1.15","9.1","10.2","309","49.3% L / 50.7% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","28.0","No","00:03:25.1","6","32.0","34","18","42","--","--","--","--","--","--","00:32:52","00:35:27","59","92"
Running,2024-08-01 13:18:38,false,"North Hertfordshire Running","2.81","184","00:15:06","147","165","2.9","154","161","5:23","4:50","18","29","1.21","NaN","NaN","NaN","--","0.0","NaN","NaN","--","NaN","NaN","NaN","--","28.0","No","00:04:06","3","33.0","--","--","--","--","--","--","--","--","--","00:14:39","00:17:20","63","76"
Running,2024-07-26 13:06:14,false,"North Hertfordshire Running","8.00","546","00:43:21","153","167","3.4","153","172","5:25","4:41","92","99","1.19","8.6","10.1","299","48.9% L / 51.1% R","0.0","NaN","NaN","--","NaN","NaN","NaN","--","25.0","No","00:01:37.0","9","30.0","34","22","42","--","--","--","--","--","--","00:43:00","00:45:06","65","104"
Running,2024-07-24 11:56:22,false,"North Hertfordshire Running","9.35","679","00:48:29","168","183","4.3","155","216","5:11","4:22","150","158","1.24","NaN","NaN","NaN","--","0.0","NaN","NaN","--","NaN","NaN","NaN","--","28.0","No","00:01:51.3","10","33.0","--","--","--","--","--","--","--","--","--","00:48:24","00:48:29","67","155"
Running,2024-07-22 12:27:05,false,"North Hertfordshire Running","5.04","353","00:27:18","156","176","3.2","154","182","5:25","3:50","57","65","1.20","NaN","NaN","NaN","--","0.0","NaN","NaN","--","NaN","NaN","NaN","--","27.0","No","00:00:12.5","6","31.0","--","--","--","--","--","--","--","--","--","00:26:19","00:36:12","65","106"
Running,2024-07-21 17:27:51,false,"North Hertfordshire Running","5.84","395","00:32:15","143","160","3.0","152","162","5:31","4:38","63","67","1.19","NaN","NaN","NaN","--","0.0","NaN","NaN","--","NaN","NaN","NaN","--","26.0","No","00:04:22.2","6","31.0","--","--","--","--","--","--","--","--","--","00:32:00","00:32:21","59","93"
Open Water Swimming,2024-07-15 14:52:38,false,"Rovinj Open Water Swimming","190","34","00:10:48","91","109","0.2","--","--","5:41","1:58","--","--","NaN","NaN","NaN","NaN","--","0.0","NaN","NaN","160","107","14","NaN","--","30.0","No","00:10:48","1","31.0","--","--","--","--","--","--","--","--","--","00:07:20","00:10:48","--","--"
